author,publishedAt,likeCount,text
@rennqii21,2025-04-08T07:47:33Z,0,"9:51 bang warna itu bisa dipatenkan tergantung negaranya keknya, inget yg siapa itu yg patenkan warna plg gelap, trs dicounter ada yg matenkan warna plg pink atau apa itu. Cmiiw"
@danielw2625,2025-04-08T04:25:10Z,0,Harusnya openAI bayar royalti sama gibli
@uzumakikarin2226,2025-04-08T04:18:50Z,0,"A.I.... ""a""nya annoying"
@czacaesar,2025-04-08T03:21:28Z,0,"wapres nya aja dateng ke kampus dan sekolah2 bukan buat berdialog, tapi jadi juri AI."
@renfrey217,2025-04-08T03:21:09Z,0,"Dan orang-orang dengan polos & tolilnya menyerahkan data2 visual mereka secara SUKARELA buat difeed ke AI, ntar kalo udah kena deepfake atau foto2nya entah bakal disalahgunakan buat apa baru deh ngamuk2 😂"
@javakids23,2025-04-08T01:25:45Z,0,gw ngerasa orang gen sekarng makin dumb and more dumbest
@fufufafa-o6b,2025-04-07T18:51:30Z,0,"menurutku mau ngga mau AI ini tetep bakal membuat sebagian orang kehilangan pekerjaan, khususnya di negara kita, dengan keadaan sebelumnya saja angka pengangguran sudah banyak sekali apalagi jika nanti AI menjadi lebih masif"
@nettoliusarthura7912,2025-04-07T14:24:35Z,0,"sebagai seorang yang kuliah di bidang seni, AI ini jujur mengkhawatirkan. karena kemungkinan besar bisa menggantikan kami. mau cerita dikit, pas kemaren lebaran hampir satu keluarga besar ku pada pake ini semua, dan sebagai yang main di seni ini bikin saya risih. jadi saya komen tentang ini, tapi malah dibantah pake alasan ""masuk akal"" lain...... masa depan kami terancam T_T bahkan di depan keluarga sendiri"
@wakuwaku6647,2025-04-07T12:06:06Z,0,"gibli tuh animasi nya bagus tapi plot nya meh, gw lebih menikmati plot nya makoto shinkai"
@a.arif.m,2025-04-07T10:12:14Z,0,"Kemajuan pengetahuan tidak akan terbendung, dan kemajuan itu ada saatnya akan bersinggungan dengan pagar etika. Biasanya ketika kemajuan itu merugikan sebagian kelompok manusia. kemudian membuat manusia mempertanyakan kembali, ""Apakah ini baik atau buruk?""... 🤔"
@roniramadhanni1538,2025-04-07T08:28:45Z,0,"memang dari shape, color grading, serta style gambarnya ghibli banget walaupun saya lihat warnanya itu ngarah ke Sephia
nah ini saja AI nyetuh dunia seni rupa, mereka para seniman dan animator sebenarnya punya feel dalam menciptakan sebuah karya
tapi mau gimana lagi kemampuan AI begitu cepat, apalagi efesiensinya sebuah AI melakukan hal yang sulit dilakukan secara cepat, bayangin kedepannya banyak pekerjaan yang digantikan oleh AI."
@muhammadrichoramadhan5695,2025-04-07T07:26:35Z,0,"Sebenernya ga masalah menurut gw lu memanfaatkan A.I but man using it as bussiness? udh bener"" ga  bermoral"
@yopiehendramulia8511,2025-04-07T03:47:19Z,0,"menarik ya, sebenarnya style gambar itu masuk hak kekayaan intelektual ga sih, solanya ada juga komik indonesia judulnya jitu, itu stylenya mencontoh urasawa naoki, search aja komik jitu"
@loldx,2025-04-07T01:14:48Z,0,"mungkin alesa kenapa ada yang sampe buka kelas gitu karna di indonesia ada beberapa daerah yang masih belum mengenal teknologi AI dan masih awam, ntah karna kesenjangan pendidikan atau penyebaran informasi"
@yamanlutfi365,2025-04-07T00:31:34Z,0,"AI itu emang butuh regulasi, butuh peraturan yang ketat. AI berkembang sangat cepat tapi Regulasi AI nya sendiri enggak bisa berkembang secepat itu.

Termasuk penyalah gunaan AI itu perlu dibuat juga peraturannya. Percaya deh sesuatu yg berlebihan enggak pernah berakhir baik."
@Agusdhika-t3n,2025-04-06T17:58:12Z,0,"Nuklir tidak bisa membuat diri nya sendiri semakin kuat ,tapi 
AI bisa membuat dirinya makin kuat."
@satria_FanZy,2025-04-06T16:58:38Z,0,"aku make juga bang tapi cuma buat konsumsi pribadi di foto profil doang tanpa ku post ke mana"""
@fariosandi4472,2025-04-06T16:44:04Z,0,Para pemalas yang berpikir dirinya berkembang sebagai manusia
@yoiiireal48,2025-04-06T15:54:30Z,0,Asli dah bad taste bgt
@topanhankurei3322,2025-04-06T14:40:22Z,0,"Naiz, good job. 😂❤🎉"
@agungchandrapangestu542,2025-04-06T14:18:36Z,0,"wkwkwkwk bego bgt asli, pinter yg bikin kelas, bego yg bayar to generate ghibli pic lollllllllllllllllllll"
@hilmancr7,2025-04-06T10:43:05Z,0,"bener bang, aku animator di salah satu channel misteri, menurutku ya bener animasi AI tuh masih ga ada jiwa nya, ekspresi datar, apa yang dilakukan ga jelas, kita ketika akan membuat ekspresi karakterkan riset muka dulu, riset respon dan sebagainya"
@Maruei.Gallery,2025-04-06T10:22:36Z,0,"Kecewa banget sama warga indo ini, padahal gambar juga gak sesusah itu, cuman kita harus belajar mati2an demi dapet cara gambar yg bener2 perfect, jadi kita para artist tuh setiap liat ai yg kyk gini ngerasa gak dihargai kocak🤦🏻‍♀️🤦🏻‍♀️ heran gw anjir, art style nya pak hayao Miyazaki itu lucu + unik, jarang2 cuy ketemu art style kyk gini. Seharusnya mereka ini stop buat pake ai2 buat gambar art style Ghibli, kasian cuy pak hayao Miyazaki"
@ESBERIS,2025-04-06T05:48:43Z,0,"ke sini setelah nonton vidio bang tara yang soal ai, ternyata yang soal hayao miyazaki marah marah itu hoaks semua."
@callderaid,2025-04-06T03:22:21Z,0,"Negara dimana kebanyakan orang nya kurang menghargai pekerjaan seperti illustrator, vdeographer, photographer yg mereka anggap mudah, ya saat ada begini komentar mereka ya udh ada Ai ngapain harus bayar kan gratis... DARI KURANG DIHARGAI SAMPAI DIINJEK-INJEK, DIKUBUR, DI COR PAKE MOLEN."
@muhammadfarizzal2454,2025-04-06T03:11:44Z,0,"gw ngerti cara buat nya cuma males aja ngikut"" trend wkwkw"
@bimshake,2025-04-05T19:23:43Z,0,The only worth-watching Ghibli movie is Spirited Away.
@LuminateStride,2025-04-05T17:25:00Z,0,"Inilah yang dimaksud wolak walik jaman ketika mencuri dan tidak mencuri itu bias, ketika yang salah menjadi benar dan benar menjadi salah sekarang coba gunakan hati nurani kalian saja kalau punya hati, itu benar atau salah"
@ceritasahabatofficial,2025-04-05T16:24:09Z,0,"""Bosen miskin? Main di 🔥🐊𝐁𝐔𝐀𝐘𝐀𝐖𝐈𝐍🐊🔥, biar dikira sultan!"""
@qtcbbb,2025-04-05T14:28:00Z,0,"Ai kalau buat assist its fine, klu buat hal lain sih agak gimana gitu,

Masalahnya banyak yg melanggar hak cipta."
@Mayakoneko,2025-04-05T14:10:01Z,0,6:32 Makasi udh wakilin ak buat ngomong gt
@SIDCRZ,2025-04-05T13:29:32Z,1,"Salah satu hal yg ga bakal bisa digantikan oleh AI adalah seni, karena dalam seni terdapat creativity, curiosity dan analysis. Yang kalian liat belakangan ini is none other than slops karena promptnya pun generic😣. Tapi gw lebih respect sama prompting yang bener2 niat dan kreatif, that still counts as arts imo."
@RuangDebut,2025-04-05T11:01:34Z,0,"Kita open commision jasa vector wajah gak mau katanya gak suka, 
Ada openAi bisa bikin generate foto jadi kartun semua suka,

Fix sukanya gratisan bukan suka karya seni"
@empatbelasnoldua1402,2025-04-05T10:32:47Z,0,PARA FOMO TO LOL DAN GO BLOCK.
@nahmjourney,2025-04-05T10:29:55Z,0,salahnya karena terlalu banyak yang fomo
@AhmadKhan-bk5qg,2025-04-05T10:24:10Z,0,Bukan ghibli tp kipli.. 😂
@ayu.dwi390,2025-04-05T09:51:58Z,0,Knp hrs bersaing dgn AI. Anggap saja AI sbg asisten yg membantu kerjaan kita.
@Aebihoxa,2025-04-05T09:36:19Z,0,"menit2 akhir 10:00 dst, gue berfikir bang kita itu harus naikin standar yang bikin orang punya standar makin tinggi dalam hidupnya, membuat dia bekerja lebih gyat dan tentunya salah satunya punya referensi yang luas dan bagus."
@haritswrite3019,2025-04-05T09:22:00Z,1,"Gua sebagai penikmat film, dan gua salah satu yang cinta karya karya gibli, dari ponyo. 

Gua merasa ai generate ini jadi bikin banyak orang gak sopan sama pekerja kreatif, mereka merasa ini perkembangan zaman, tetapi mereka gak sadar udah khianatin pembuat karya yang mungkin mereka cintain, ini bukan soal semua bisa mandiri, tapi gimana bisa hargain karya orang dengan meminta izin, dan ai ai yg generate ini gak punya izin, ini yg membuat banyak founder founder ai yang cabut dari perusahaannya sendiri abis di ambil alih coroporate"
@gedeyasa2706,2025-04-05T08:26:10Z,0,no lu main tiktok gak?
@krisnamahardika8025,2025-04-05T06:35:26Z,1,selama ga di komersialkan g masalah sih
@Budimawan10,2025-04-05T06:17:17Z,0,"susah sighh, tapi yakin bakal muncul kok kerjaan baru dari ai itu sendiri"
@sweetpopcorn45,2025-04-05T05:20:05Z,0,"Emangnya Open AI udah bayar hak cipta dg studio Ghibli? Udah bayar ke Hayao Miyazaki? Itu masalahnya, urusan hak cipta nih."
@Wmmm675,2025-04-05T03:56:23Z,0,Bjir gak di Twitter gak di IG sekarang story wa jadi Ghibli semua
@paijolemu4105,2025-04-05T03:02:48Z,1,"biasaaa, seperti opang vs ojol, nokia/bb vs iphone/android, pada akhirnya yg menang adalah yg paling modern dan canggih
pelaku industri kreatif, mau g mau akan tergantikan oleh AI"
@hrwstudio4104,2025-04-05T00:33:35Z,1,"01:37 saya juga begitu 😮 mengagumi artstyle nya, tp gak kuat memahami alur cerita filmnya"
@rifaldisinggart5562,2025-04-04T23:44:10Z,0,gw sebagai illustrator menanggapi fenomena ini kek..... APAAAAN SIIIIII
@ivatfadhlu,2025-04-04T17:46:35Z,0,"bang speak up kesan ""memaksakan"" penggunaan Ai di kalangan pendidikan formal yang dilakukan wapres kita dong. bukannya itu malah bikin daya kritis dan pola pikir anak didik jadi ""tumpul"" ya ....."
@baikkq,2025-04-04T15:20:03Z,0,"Gak tau dah bang. Gedeg gua. Masa Wapresnya ngajarin anak Sekolah ngerjain soal MTK PAKE AI bukannya pake otak penalaran, pemecahan siswa nya sendiri kocak, malah jadi males tu anak2. Gw kira anak sekolah bakal DILATIH GITU, dikasih belajar pemograman step by step bikin satu mesin Ai baru buat para siswa mecahin masalah2 pendidikan atau masalah2 sosial. Ternyata Ekspektasi ke wapres gw ketinggian, bodoh bgt bukannya ngajak buat mikir buat inovasi , malah diajak jadi males"
@randiandriawan,2025-04-04T14:13:40Z,0,seniman dari dulu sangat jarang dihargai oleh masyarakat. dan sekarang mereka juga dihina dengan adanya AI
@Rynappplle,2025-04-04T13:13:05Z,0,Iklan tv pada pake ai
@galihazellaa,2025-04-04T12:32:43Z,0,Kemarin style pixar kgk ribut deh perasaan 😏😏
@okebroo8981,2025-04-04T12:24:03Z,1,bahkan ada yang jual promt yang promt itu di buat pakai ai itu sendiri
@rizmansyah70,2025-04-04T11:49:53Z,0,","
@Faztclouds,2025-04-04T11:25:07Z,0,Semoga cepat sembuh dunia yang sedang sakit 😂
@toothisblue,2025-04-04T10:03:17Z,0,"Bukan salah Ai nya tapi orang nya pada munafik ngaku"" Ai artist"
@Tanza_in,2025-04-04T09:26:14Z,0,Gw kembali setelah berkeliling melihat tanggapan orang2 soal ai ghibli ini. Pantes bang Eno nekenin kalo orang yng kontra ai bukan menolak kemajuan dan itu yang tenryata ditangkap oleh orang pro ai tapi kurang sense melihat suatu fenomena.
@gho1st_,2025-04-04T08:06:43Z,0,"5:48 ngl gw ngakak di sini, soalnya gw ga bisa prompting tp bisa nggambar 💀"
@fikrihaikal978,2025-04-04T05:07:12Z,0,"gua yang pakek ubah foto menjadi art style crows, lebih macho dan hitam putih😂"
@rendragilangyuniarto8469,2025-04-04T05:02:48Z,0,Wkwkwk gongnya ngeprompt adalah skill.......
@Hasna-b1u,2025-04-04T05:00:47Z,0,Tiap kalimat mesti disclaimer dulu kah no? Wkwkwk lucu banget nih orang
@rafiqahanifelardhi1021,2025-04-04T04:28:05Z,0,"kalau menurut aku AI itu gaada yang bermasalah, gaada yang salah dengan AI secara logika. namun setelah liat berita dll. emang sebaiknya AI itu ada batasannya atau sistem (policy) untuk AI. karna somehow. AI is morally in gray area. Jadi kek logically ini bagus banget tapi morally kita mempertanyakan, ""is it ok?"". nah aku berharapnya kita bisa lebih bijak lagi melihat di berbagai sisi. jika semisalnya AI sudah melebihi batas dan merugikan seseorang, sebaiknya emang bagus didiskusikan. dan bener juga kata bg Eno, jangan sampai kita digantikan AI karna yang bikin AI kan kita juga wkwwkwkkwkwkw (I mean manusia juga kan yang bikin gituloh)"
@xmtyyy,2025-04-04T04:25:59Z,0,#SupportHumanIllustrator
@Brilianoka182Channel,2025-04-04T04:24:35Z,0,Eno bening yg lama yang india
@ikhsan1845,2025-04-04T03:41:20Z,0,Fenomena ini AMAZING. AI selalu didepan
@chromebooksamsung4969,2025-04-04T03:13:46Z,0,"Apa yang mau diharapkan dari negara yang wapresnya justru mengatakan bahwa anak muda harus mulai berdaptasi dengan AI yakin bahwa AI bukan ancaman ? 
Apa yang mau diharapkan dari negara yang pejabatnya bilang bahwa makan bergizi gratis lebih penting daripada lowongan kerja?"
@FaizalIrfandi,2025-04-04T03:10:09Z,0,"Jujur aja sejak tren generate image AI style Ghibli dan style anime lainnya, artist yang buka komis artwork jadi gak laku semua 😢"
@twntytu0five278,2025-04-04T02:28:06Z,0,"Nih POV yang bagus, yg jadi masalah itu adl perusahaan besar yg ambil data tnp consent creatornya. It's about ethic ✨
Something above law"
@calliopezz,2025-04-04T02:13:02Z,0,"ya bayangin aja udah bikin gambar aststyle bagus bagus gitu, sukses, laku keras, susah susah nggambarnya, ehh dicopy segampang itu + cepet pula......sebenernya kalau menurutku buat individu mandiri aja sih gapapa, kalau sampe buat kelas, disalah gunakan dll semacamnya itu parah sih wkwkwk, gw sebagai orang yang suka nggambar ilustrasi dan semacamnya juga bakal gasuka lah..kerja keras gua digampangin gitu""...tapi kembali kepada perspective sih yaa..."
@Dinda_nsd,2025-04-03T22:51:15Z,0,"Anime Ghibli itu film Healing dari gambar, plot, musiknya bikin healing. ❤"
@JonnyAbdullah,2025-04-03T22:29:56Z,0,"Ai makin lama makin ngelunjak, bentar lagi pasti ada buat film” pake Ai"
@SAGANTUGUY,2025-04-03T19:42:25Z,1,"ga bisa no, dari jaman dulu itu manusia nalurinya berpikir untuk bisa se-efektif mungkin. makanya mereka buat cangkul, Kjokkenmoddinger. AI sebagai alat bantu pikir yang modern juga pasti ga bisa dihindari bang. jadi statement ""sdm manusia melebihi AI"" terbantahkan oleh AI itu sendiri wkwkwk."
@Digilenz,2025-04-03T18:27:01Z,0,"Suatu kemajuan teknologi ga bakal pernah terbendung, mau loe suka or gak suka, kaga ada ngaruhnya..debat2 jg ga ada ngaruhnya. Be adaptive aja, manfaatkan kemajuan teknologi sebaik2nya.

Utk early adaptor pasti ada rewardnya, setiap zaman selalu spt itu.

Mulai dr revolusi industri, internet, socmed, ojol, sampe ke AI, ujung2nya kita yg adaptive yg bs dpt rewardnya. Yg mati2an menentang ya antara mati or bakal adaptive jg tp belakangan.

So, be adaptive."
@konokabaeru1003,2025-04-03T18:03:07Z,0,"10:23 mark my words: suatu saat SEMUA pekerjaan AKAN bisa digantikan robot, SEMUA SEMUA SEMUA yang bisa dikerjakan manusia bisa dikerjakan robot, kecuali: pekerjaan yg berkaitan dengan keagamaan dan 'pekerjaan' berupa 'responsible person' karena jika robot tidak merasakan sakit, maka tidak bisa dihukum."
@tengkuiqbal860,2025-04-03T16:27:31Z,0,intinya bisa skip ke 4:20
@japangtm4980,2025-04-03T14:36:36Z,0,Iya lagi iya lagi iya lagi
@rizkymazwarpratama5886,2025-04-03T14:33:04Z,0,"Ghibli is not my cup of tea, instead my coffee is CoMix Wave Films"
@triantoadifx,2025-04-03T14:02:07Z,2,"Revolusi teknologi di awal emang ga ngotak dan sulit dicerna akal sehat, gimana mau dicerna akal, banyak profesi yg takut ga bisa ngasig makan keluarganya jika revolusi teknologi AI ini semakin gila 😢

Waktu mesin cetak muncul di abad ke-15, banyak orang khawatir kalau cara tradisional nulis dan menyalin buku secara manual bakal lenyap. Pemerintah dan lembaga keagamaan sempat coba menetapkan aturan ketat untuk membatasi perubahan itu. Tapi, kebutuhan masyarakat akan informasi malah memaksa perkembangan teknologi, yang akhirnya membuka era baru literasi dan menyebarnya ide secara masif. Proses ini mirip dengan apa yang sekarang terjadi pada dunia seni ketika AI mulai digunakan.

Begitu juga dengan revolusi industri. Dulu, ketika mesin mulai menggantikan kerja tangan di pabrik, banyak yang merasa pekerjaan tradisional bakal hilang. Regulasi memang dibuat untuk melindungi pekerja, namun pasar dengan sendirinya memicu lahirnya profesi dan keahlian baru yang tak terduga. Seiring waktu, inovasi yang tadinya dianggap mengancam, justru menciptakan peluang baru.

Menurut gw : meskipun regulasi penting untuk menjaga nilai dan etika, sejarah mengajarkan bahwa inovasi itu sulit dihentikan. Akhirnya, pasar yang menentukan arah dan kecepatan perubahan. Pada akhirnya, kekhawatiran saat ini sama dengan kekhawatiran masa lalu, perubahan pasti terjadi dan kita harus siap menyesuaikan diri."
@triantoadifx,2025-04-03T13:54:27Z,1,"Kalau kita bahas dari sisi epistemologi dan moral, ya wajar aja kalo ada batasan supaya nilai-nilai seni dan kreativitas manusia tetap terlindungi. 

Tapi, secara ontologis, pasar yang pada akhirnya bakal menentukan arah dan kecepatan perubahan. Regulasi hanya bisa menahan laju perubahan untuk sementara, sementara inovasi teknologi itu ibarat virus, sulit banget untuk dihentikan begitu aja.

Imajinasi emang lebih indah dari kenyataan 😢

Kenyataan itu pahit, tapi itulah yang terjadi 😢"
@KeisJir,2025-04-03T13:11:43Z,5,"Aku cuma mau meluruskan beberapa hal yang sering di-misinterprestasikan sama mayoritas orang agar jauh lebih jelas lagi. Sebagai disclaimer, salah satu kerjaanku memang berkaitan dengan machine learning, jadi aku paham secara teknis gimana AI memproses berbagai jenis data (entah itu video, gambar, artikel, atau format lainnya) sampai akhirnya bisa menghasilkan sesuatu yang sesuai dengan user prompt. Tapi yang mau aku bahas di sini lebih ke arah ranah hukum, sebenarnya, karena mayoritas kontroversnya soal hak paten atau hak cipta. Kalau secara teknis dalam machine learning sendiri mungkin bisa aku jelasin lain kali (itupun kalau emang ada yang mau).

Dari segi hukum, sebenarnya AI ga punya masalah yang serumit di pikiran orang-orang. Yang sering jadi bahan perdebatan, terutama di lingkup illustrator, dll. lebih ke arah soal art style yang dihasilkan AI generatif itu sendiri. Banyak yang mikir kalau art style itu bisa dipatenkan, padahal secara hukum, art style malah bukan sesuatu yang bisa didaftarkan sebagai hak cipta atau paten karena sifatnya yang lebih ke arah konvensional dan nggak punya distinct originality. Beda cerita kalau kita ngomongin karakter, cerita, atau elemen spesifik lainnya yang memang punya nilai intellectual property. Art style itu lebih ke interpretasi, bukan sesuatu yang bisa diklaim eksklusif oleh satu individu atau kelompok tertentu. Salah satu ketakutan terbesar orang-orang kan yang sering muncul soal AI adalah anggapan orang-orang itu sendiri kalau teknologi ini bakal bikin industri kreatif mati. Padahal, yang jadi masalah bukan AI-nya, tapi gimana cara kita menggunakannya dan gimana orang-orang melihatnya. AI ga serta-merta bikin industri seni hilang cuma karena bisa menghasilkan gambar dalam hitungan detik. Malah, yang lebih bahaya justru kalau orang-orang jadi kehilangan cara menghargai seni itu sendiri. Nilai dari sebuah karya itu kan bukan cuma dari hasil akhirnya, tapi juga dari effort, dan proses yang dilalui dalam pembuatan seni itu sendiri. Emang benar AI bisa bikin gambar yang presisi sesuai request user, tapi nyatanya AI nggak punya niat artistik. Otomatis, value seni itu sendiri hilang, dan jelas image yang dihasilkan dari output AI itu ga tergolongkan sebagai ""seni"". Esensi dari seni sendiri kan adalah human craftsmanship (proses kreatif yang melibatkan pengalaman, dan keterampilan dalam proses pembuatannya). Sebuah karya bisa disebut ""masterpiece"" (atau sebagainya) bukan sekadar karena hasil akhirnya doang, kan? Tapi karena ada makna yang direpresentasikan sama pembuatnya itu sendiri, dan makna itulah yang dituangkan selama proses pembuatannya. Sedangkan AI? Dia cuma memproses data yang sudah ada dan menghasilkan sesuatu yang mungkin secara teknis emang kelihatan bagus, tapi nyatanya ga punya value atau makna yang setara sama seniman pada umumnya. Itu sebabnya, seni yang diciptakan manusia dan image yang dibuat AI punya perbedaan yang sangat mendasar. Dan karena itu kita sebenarnya ga punya alasan yang mendasar kenapa harus takut sama AI, dan malah kesannya kasus kayak gini kayak didramatisir. Lalu, hal yang sebenarnya lebih perlu dikhawatirkan bukan AI itu sendiri, tapi gimana orang-orang mulai mempersepsikan seni saat ini. Kalau kebanyakan orang cuma fokus pada hasil akhirnya tanpa peduli prosesnya, itu justru yang bakal bikin nilai seni turun. Cara pikir yang cuma mengejar efisiensi dan hasil instan tanpa peduli soal craftsmanship malah itu yang bisa jadi ancaman buat industri seni, bukan AI. Jelas masalah utamanya ada di cara berpikir mayoritas orang yang pragmatis, bukan di AI-nya. 

Dan sebagai tambahan aja, soal statement Hayao Miyazaki. Banyak yang sering pakai statement-nya Hayou Miyazaki yang kurang lebih berisikan kalau dia merasa jijik dengan AI, dan narasi itulah yang malah dipakai sebagai narasi untuk bilang AI itu merusak industri seni secara masif. Tapi kalau kita lihat lagi, video yang memperlihatkan kritiknya ke AI itu malah diambil di tahun 2016, dan saat itu dia lagi ngomongin soal demonstrasi teknologi AI buat animasi, bukan merujuk AI generatif yang sekarang ini lagi rame sama kontroversinya. Jadi jelas kalau ada yang pakai statement itu buat menolak AI generatif, narasinya malah jadi narasi yang dipaksakan.

Dan pada akhirnya, AI itu cuma alat. Yang menentukan apakah industri seni bakal menghilang atau masih bertahan adalah diri kita sendiri, dari bagaimana kita mengapresiasi seni itu sendiri agar interpretasi mayoritas orang lebih aware lagi, bukan mengkambinghitamkan AI. Otomatis, solusi utamanya adalah bagaimana cara kita mengedukasi banyak orang untuk lebih aware lagi sama kasus yang seperti ini."
@adoradora-k5m,2025-04-03T12:53:51Z,1,"dulu lo ga bakal bisa melawan internet di taun 2000 an. tapi setidaknya bisa meminimalisir, sama kayak AI sekarang lo gabakal bisa melawan AI tapi setidaknya bisa mem filter beberapa masalah. lihat 2030 nanti bakalan seperti apa AI ini"
